apt_name,report_id,created,last_update
apt28,4939,2019-03-20 15:35:19.03758+01,2019-03-20 15:35:19.03758+01
equation,4939,2019-03-20 15:35:19.039802+01,2019-03-20 15:35:19.039802+01
apt28,4928,2019-03-20 15:35:19.876155+01,2019-03-20 15:35:19.876155+01
apt28,4941,2019-03-20 15:35:21.663362+01,2019-03-20 15:35:21.663362+01
threatgroup3390,4941,2019-03-20 15:35:21.665977+01,2019-03-20 15:35:21.665977+01
apt28,4942,2019-03-20 15:35:22.874465+01,2019-03-20 15:35:22.874465+01
apt28,4929,2019-03-20 15:35:24.012241+01,2019-03-20 15:35:24.012241+01
apt28,4945,2019-03-20 15:35:26.652812+01,2019-03-20 15:35:26.652812+01
apt28,4946,2019-03-20 15:35:28.780924+01,2019-03-20 15:35:28.780924+01
apt28,4947,2019-03-20 15:35:33.679198+01,2019-03-20 15:35:33.679198+01
promethium,4948,2019-03-20 15:35:33.687045+01,2019-03-20 15:35:33.687045+01
promethium,4832,2019-03-20 15:35:42.428974+01,2019-03-20 15:35:42.428974+01
apt28,4833,2019-03-20 15:35:46.338202+01,2019-03-20 15:35:46.338202+01
promethium,4833,2019-03-20 15:35:46.34421+01,2019-03-20 15:35:46.34421+01
apt17,4951,2019-03-20 15:35:46.37258+01,2019-03-20 15:35:46.37258+01
apt17,4952,2019-03-20 15:35:55.626321+01,2019-03-20 15:35:55.626321+01
apt1,4952,2019-03-20 15:35:55.627528+01,2019-03-20 15:35:55.627528+01
menupass,4953,2019-03-20 15:35:55.632376+01,2019-03-20 15:35:55.632376+01
menupass,4954,2019-03-20 15:36:05.614718+01,2019-03-20 15:36:05.614718+01
apt12,4955,2019-03-20 15:36:07.390629+01,2019-03-20 15:36:07.390629+01
menupass,4955,2019-03-20 15:36:07.39269+01,2019-03-20 15:36:07.39269+01
menupass,4956,2019-03-20 15:36:10.636975+01,2019-03-20 15:36:10.636975+01
apt1,4956,2019-03-20 15:36:10.638189+01,2019-03-20 15:36:10.638189+01
menupass,4957,2019-03-20 15:36:13.694321+01,2019-03-20 15:36:13.694321+01
threatgroup3390,4957,2019-03-20 15:36:13.69612+01,2019-03-20 15:36:13.69612+01
nightdragon,4957,2019-03-20 15:36:13.698136+01,2019-03-20 15:36:13.698136+01
apt1,4957,2019-03-20 15:36:13.701511+01,2019-03-20 15:36:13.701511+01
ke3chang,4957,2019-03-20 15:36:13.702774+01,2019-03-20 15:36:13.702774+01
apt19,4957,2019-03-20 15:36:13.703895+01,2019-03-20 15:36:13.703895+01
menupass,4958,2019-03-20 15:36:14.889705+01,2019-03-20 15:36:14.889705+01
menupass,4959,2019-03-20 15:36:18.147451+01,2019-03-20 15:36:18.147451+01
rancor,4960,2019-03-20 15:36:18.164655+01,2019-03-20 15:36:18.164655+01
apt28,4961,2019-03-20 15:36:29.743935+01,2019-03-20 15:36:29.743935+01
rancor,4961,2019-03-20 15:36:29.745227+01,2019-03-20 15:36:29.745227+01
apt32,4962,2019-03-20 15:36:29.771694+01,2019-03-20 15:36:29.771694+01
